"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95","values"
"2015.8027",24835.1311176361,22613.3544527664,27056.9077825057,21437.2169314945,28233.0453037777,2015-10-21
"2015.8055",24797.2736924205,22575.4970275509,27019.0503572902,21399.3595062789,28195.1878785621,2015-10-22
"2015.8082",24732.2831224715,22510.5064576019,26954.0597873411,21334.3689363299,28130.1973086131,2015-10-23
"2015.8110",24639.8678475101,22418.0911826405,26861.6445123798,21241.9536613685,28037.7820336517,2015-10-24
"2015.8137",24520.8154267193,22299.0387618497,26742.592091589,21122.9012405777,27918.729612861,2015-10-25
"2015.8164",24377.0142919175,22155.2376270479,26598.7909567871,20979.1001057759,27774.9284780591,2015-10-26
"2015.8192",24211.4304809679,21989.6538160983,26433.2071458376,20813.5162948263,27609.3446671095,2015-10-27
"2015.8219",24028.0372273375,21806.2605624678,26249.8138922071,20630.1230411959,27425.9514134791,2015-10-28
"2015.8247",23831.6972119132,21609.9205470436,26053.4738767828,20433.7830257716,27229.6113980548,2015-10-29
"2015.8274",23627.9994646301,21406.2227997605,25849.7761294998,20230.0852784885,27025.9136507718,2015-10-30
"2015.8301",23423.0552467949,21201.2785819253,25644.8319116645,20025.1410606533,26820.9694329365,2015-10-31
"2015.8329",23223.259633483,21001.4829686133,25445.0362983526,19825.3454473414,26621.1738196246,2015-11-01
"2015.8356",23035.0278102221,20813.2511453525,25256.8044750917,19637.1136240805,26432.9419963637,2015-11-02
"2015.8384",22864.5171463692,20642.7404814996,25086.2938112389,19466.6029602276,26262.4313325108,2015-11-03
"2015.8411",22717.3477520773,20495.5710872076,24939.1244169469,19319.4335659357,26115.2619382189,2015-11-04
"2015.8438",22598.3353170395,20376.5586521699,24820.1119819092,19200.4211308979,25996.2495031811,2015-11-05
"2015.8466",22511.25043765,20289.4737727804,24733.0271025197,19113.3362515084,25909.1646237916,2015-11-06
"2015.8493",22458.6182670987,20236.8416022291,24680.3949319684,19060.7040809571,25856.5324532403,2015-11-07
"2015.8521",22441.5711151212,20219.7944502516,24663.3477799908,19043.6569289796,25839.4853012628,2015-11-08
"2015.8548",22459.7645766333,20237.9879117637,24681.5412415029,19061.8503904917,25857.6787627749,2015-11-09
"2015.8575",22511.364933718,20289.5882688484,24733.1415985877,19113.4507475764,25909.2791198596,2015-11-10
"2015.8603",22593.1120637654,20371.3353988958,24814.8887286351,19195.1978776238,25991.026249907,2015-11-11
"2015.8630",22700.4580636368,20478.6813987672,24922.2347285065,19302.5438774952,26098.3722497785,2015-11-12
"2015.8658",22827.7774794361,20606.0008145665,25049.5541443057,19429.8632932945,26225.6916655777,2015-11-13
"2015.8685",22968.6406648902,20746.8640000205,25190.4173297598,19570.7264787486,26366.5548510318,2015-11-14
"2015.8712",23116.1376520334,20894.3609871637,25337.914316903,19718.2234658918,26514.051838175,2015-11-15
"2015.8740",23263.2362845872,21041.4596197175,25485.0129494568,19865.3220984456,26661.1504707288,2015-11-16
"2015.8767",23403.1555021011,21181.3788372314,25624.9321669707,20005.2413159595,26801.0696882427,2015-11-17
"2015.8795",23529.7328035659,21307.9561386963,25751.5094684355,20131.8186174243,26927.6469897075,2015-11-18
"2015.8822",23637.7642437534,21415.9875788838,25859.540908623,20239.8500576118,27035.678429895,2015-11-19
"2015.8849",23723.2959381956,21501.519273326,25945.0726030652,20325.381752054,27121.2101243372,2015-11-20
"2015.8877",23783.8480091359,21562.0713442663,26005.6246740056,20385.9338229943,27181.7621952775,2015-11-21
