"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95","values"
"2015.4658",28769.8771491084,25852.5025109866,31687.2517872301,24308.1376656102,33231.6166326065,2015-06-20
"2015.4685",28753.9399228707,25836.565284749,31671.3145609925,24292.2004393726,33215.6794063689,2015-06-21
"2015.4712",28734.6098748937,25817.235236772,31651.9845130155,24272.8703913956,33196.3493583918,2015-06-22
"2015.4740",28711.5162819443,25794.1416438226,31628.8909200661,24249.7767984462,33173.2557654425,2015-06-23
"2015.4767",28684.3399780745,25766.9653399528,31601.7146161963,24222.6004945764,33146.0794615726,2015-06-24
"2015.4795",28652.8135800812,25735.4389419595,31570.1882182029,24191.0740965831,33114.5530635793,2015-06-25
"2015.4822",28616.721192849,25699.3465547273,31534.0958309708,24154.9817093509,33078.4606763472,2015-06-26
"2015.4849",28575.8976788764,25658.5230407547,31493.2723169982,24114.1581953783,33037.6371623746,2015-06-27
"2015.4877",28530.2275783711,25612.8529402494,31447.6022164928,24068.488094873,32991.9670618692,2015-06-28
"2015.4904",28479.6437656695,25562.2691275478,31397.0184037913,24017.9042821714,32941.3832491677,2015-06-29
"2015.4932",28424.1259245016,25506.7512863798,31341.5005626233,23962.3864410035,32885.8654079997,2015-06-30
"2015.4959",28363.6989189639,25446.3242808422,31281.0735570857,23901.9594354658,32825.4384024621,2015-07-01
"2015.4986",28298.431129221,25381.0564910993,31215.8057673428,23836.6916457229,32760.1706127192,2015-07-02
"2015.5014",28228.4328112075,25311.0581730857,31145.8074493292,23766.6933277093,32690.1722947056,2015-07-03
"2015.5041",28153.8545282971,25236.4798901754,31071.2291664189,23692.115044799,32615.5940117952,2015-07-04
"2015.5068",28074.8856903994,25157.5110522776,30992.2603285211,23613.1462069012,32536.6251738975,2015-07-05
"2015.5096",27991.7532226405,25074.3785845188,30909.1278607623,23530.0137391424,32453.4927061387,2015-07-06
"2015.5123",27904.7203721018,24987.34573398,30822.0950102235,23442.9808886036,32366.4598555999,2015-07-07
"2015.5151",27814.0856474342,24896.7110093124,30731.4602855559,23352.346163936,32275.8251309323,2015-07-08
"2015.5178",27720.181872976,24802.8072348543,30637.5565110978,23258.4423894779,32181.9213564741,2015-07-09
"2015.5205",27623.3753266554,24706.0006885337,30540.7499647771,23161.6358431573,32085.1148101535,2015-07-10
"2015.5233",27524.0649198592,24606.6902817375,30441.4395579809,23062.3254363611,31985.8044033573,2015-07-11
"2015.5260",27422.6813679261,24505.3067298043,30340.0560060478,22960.9418844279,31884.4208514242,2015-07-12
"2015.5288",27319.6862922865,24402.3116541647,30237.0609304082,22857.9468087883,31781.4257757846,2015-07-13
"2015.5315",27215.5711897777,24298.196551656,30132.9458278995,22753.8317062796,31677.3106732758,2015-07-14
"2015.5342",27110.8562015105,24193.4815633888,30028.2308396323,22649.1167180124,31572.5956850086,2015-07-15
"2015.5370",27006.0886129869,24088.7139748651,29923.4632511086,22544.3491294887,31467.828096485,2015-07-16
"2015.5397",26901.8410190493,23984.4663809276,29819.215657171,22440.1015355512,31363.5805025474,2015-07-17
"2015.5425",26798.7090916778,23881.3344535561,29716.0837297996,22336.9696081797,31260.4485751759,2015-07-18
"2015.5452",26697.3088955853,23779.9342574635,29614.683533707,22235.5694120872,31159.0483790834,2015-07-19
"2015.5479",26598.2737058676,23680.8990677459,29515.6483439894,22136.5342223695,31060.0131893658,2015-07-20
"2015.5507",26502.2502934465,23584.8756553248,29419.6249315683,22040.5108099484,30963.9897769447,2015-07-21
"2015.5534",26409.8946574482,23492.5200193265,29327.26929557,21948.1551739501,30871.6341409464,2015-07-22
"2015.5562",26321.8671986847,23404.492560563,29239.2418368065,21860.1277151866,30783.6066821829,2015-07-23
"2015.5589",26238.8273446852,23321.4527065635,29156.201982807,21777.0878611871,30700.5668281833,2015-07-24
"2015.5616",26161.4276538695,23244.0530157478,29078.8022919913,21699.6881703714,30623.1671373677,2015-07-25
"2015.5644",26090.3074440345,23172.9328059127,29007.6820821562,21628.5679605363,30552.0469275326,2015-07-26
"2015.5671",26026.0860078836,23108.7113697618,28943.4606460053,21564.3465243854,30487.8254913817,2015-07-27
"2015.5699",25969.3554954144,23051.9808572927,28886.7301335362,21507.6160119163,30431.0949789126,2015-07-28
"2015.5726",25920.673559116,23003.2989209943,28838.0481972378,21458.9340756179,30382.4130426141,2015-07-29
"2015.5753",25880.5558726742,22963.1812345524,28797.9305107959,21418.816389176,30342.2953561723,2015-07-30
"2015.5781",25849.4686467999,22932.0940086781,28766.8432849216,21387.7291633017,30311.208130298,2015-07-31
"2015.5808",25827.8212764847,22910.4466383629,28745.1959146064,21366.0817929865,30289.5607599828,2015-08-01
"2015.5836",25815.9592620885,22898.5846239668,28733.3339002103,21354.2197785904,30277.6987455866,2015-08-02
"2015.5863",25814.1575518718,22896.7829137501,28731.5321899936,21352.4180683737,30275.8970353699,2015-08-03
"2015.5890",25822.6144556418,22905.23981752,28739.9890937635,21360.8749721436,30284.3539391399,2015-08-04
"2015.5918",25841.4462779121,22924.0716397904,28758.8209160339,21379.706794414,30303.1857614102,2015-08-05
"2015.5945",25870.6828142605,22953.3081761388,28788.0574523823,21408.9433307624,30332.4222977586,2015-08-06
"2015.5973",25910.2638463717,22992.88920825,28827.6384844935,21448.5243628736,30372.0033298698,2015-08-07
"2015.6000",25960.03675962,23042.6621214983,28877.4113977418,21498.2972761219,30421.7762431182,2015-08-08
"2015.6027",26019.7553920889,23102.3807539672,28937.1300302107,21558.0159085908,30481.494875587,2015-08-09
"2015.6055",26089.0802058501,23171.7055677283,29006.4548439718,21627.340722352,30550.8196893482,2015-08-10
"2015.6082",26167.5798504019,23250.2052122801,29084.9544885236,21705.8403669037,30629.3193339,2015-08-11
"2015.6110",26254.7341647426,23337.3595266209,29172.1088028644,21792.9946812445,30716.4736482408,2015-08-12
"2015.6137",26349.9386390439,23432.5640009222,29267.3132771657,21888.1991555458,30811.6781225421,2015-08-13
"2015.6164",26452.5103297562,23535.1356916344,29369.8849678779,21990.770846258,30914.2498132543,2015-08-14
"2015.6192",26561.6951937507,23644.320555629,29479.0698318725,22099.9557102526,31023.4346772489,2015-08-15
"2015.6219",26676.6767783338,23759.3021402121,29594.0514164555,22214.9372948357,31138.4162618319,2015-08-16
"2015.6247",26796.5861752468,23879.2115371251,29713.9608133686,22334.8466917487,31258.325658745,2015-08-17
"2015.6274",26920.5131187039,24003.1384805821,29837.8877568256,22458.7736352057,31382.252602202,2015-08-18
"2015.6301",27047.5180807119,24130.1434425902,29964.8927188337,22585.7785972138,31509.2575642101,2015-08-19
"2015.6329",27176.6451919839,24259.2705538622,30094.0198301057,22714.9057084858,31638.384675482,2015-08-20
"2015.6356",27306.9357942559,24389.5611561341,30224.3104323776,22845.1963107578,31768.675277754,2015-08-21
"2015.6384",27437.4424103157,24520.067772194,30354.8170484374,22975.7029268176,31899.1818938138,2015-08-22
"2015.6411",27567.2429020293,24649.8682639076,30484.6175401511,23105.5034185312,32028.9823855274,2015-08-23
"2015.6438",27695.4545745614,24778.0799364396,30612.8292126831,23233.7150910632,32157.1940580595,2015-08-24
"2015.6466",27821.2479771983,24903.8733390765,30738.62261532,23359.5084937002,32282.9874606964,2015-08-25
"2015.6493",27943.8601479898,25026.4855098681,30861.2347861116,23482.1206644917,32405.5996314879,2015-08-26
"2015.6521",28062.6070510414,25145.2324129197,30979.9816891632,23600.8675675433,32524.3465345395,2015-08-27
"2015.6548",28176.8949618285,25259.5203237068,31094.2695999503,23715.1554783304,32638.6344453266,2015-08-28
