DateYYYYMMDD,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
20140208,28000.644,26563.62,25362.202,24924.136,24974.623,25282.636,27242.515,30765.625,33314.057,35078.722,35042.621,34109.598,32346.99,30847.914,30495.342,30912.245,31449.278,34343.598,37999.225,37901.755,35024.906,32594.44,30019.197,27791.292
20140209,26281.699,24744.998,23579.977,22997.799,22936.617,23191.777,24157.656,24986.102,26722.804,28128.429,29104.638,29341.654,28916.383,27454.398,27065.303,27095.153,27236.986,30094.992,33710.103,34011.664,32960.15,31195.814,28826.878,26921.759
20140210,25109.104,23143.346,22414.671,22291.418,22811.822,24326.973,29413.737,35389.197,39829.618,41552.782,41777.426,41346.237,39008.422,38790.609,39701.25,40503.899,41032.5,42115.283,43986.428,42435.823,40040.789,36917.3,32995.305,30340.343
20140211,27540.258,26010.854,25184.644,25089.521,25250.211,26368.43,30666.794,36170.58,40671.718,42288.868,42260.176,41504.556,38887.514,38390.759,38943.511,39780.738,40543.259,41528.779,43629.898,42360.371,39637.721,36453.644,32714.471,29829.911
20140212,27950.22,26332.815,25718.074,25494.647,25644.348,27254.219,31416.245,36877.604,41412.177,42901.772,42651.648,42268.258,39601.875,39103.663,39956.002,40503.35,41224.283,42389.473,45112.813,43361.216,40434.042,37630.108,33802.733,30615.674
20140213,27972.188,26389.816,25728.036,25295.3,25462.372,27208.566,31540.069,37123.153,41542.707,42905.708,42725.19,41880.459,38973.015,38346.2,39280.237,40343.199,41170.594,42091.369,44711.639,43209.727,40472.586,37791.4,34062.312,30986.426
20140214,28440.538,27174.591,26594.007,26219.666,26532.432,28017.182,32047.83,37160.004,41612.276,42493.727,41920.314,40789.913,38181.511,37521.84,38059.806,39007.262,39227.063,40381.164,43749.112,41973.011,39806.503,37114.336,33482.872,30574.131
20140215,27837.949,26231.356,25391.619,24920.328,24698.869,25438.118,27418.52,30415.856,33060.745,34332.103,34225.037,33174.575,31365.309,30028.158,29639.249,29987.15,30554.924,32778.451,36996.093,36838.577,34882.028,32307.02,29944.872,27579.606
20140216,25338.559,23699.01,22983.632,22558.868,22468.954,22899.666,23654.763,24527.325,25927.666,27409.209,28361.144,28664.526,28311.47,27199.176,26781.758,26657.711,26500.864,28837.396,32380.96,33345.281,32534.055,31158.615,28724.908,26639.582
20140217,24102.284,22591.475,22039.553,22065.535,22603.641,24370.257,29299.235,35070.711,39588.273,40697.935,40583.551,39826.32,37745.831,37329.452,38297.544,39336.168,39805.811,41020.872,43158.668,42053.942,39654.745,37181.946,33414.029,30305.935
